team_id	qns_id	article_title	path	qns_difficulty_by_questioner	qns_text	is_disfluent?	is_bad_qns?	answer	qns_difficulty_by_answerer
Ugrad 11	30	Andromeda_(constellation)	set2/a3	hard	What would happen as a result of an Andromeda-Milky Way collision?	False	False	Create a new star formation	medium
Ugrad 11	30	Andromeda_(constellation)	set2/a3	hard	What would happen as a result of an Andromeda-Milky Way collision?	False	False	Extensive new star formation	medium
Ugrad 11	31	Andromeda_(constellation)	set2/a3	medium	What is the brightest star in the Andromeda constellation?	False	False	Alpha Andromedae	medium
Ugrad 11	31	Andromeda_(constellation)	set2/a3	medium	What is the brightest star in the Andromeda constellation?	False	False	Alpha Andromedae	medium
Ugrad 11	32	Andromeda_(constellation)	set2/a3	medium	What are the Andromeda galaxy's two main companions?	False	False	M32 and M110	medium
Ugrad 11	32	Andromeda_(constellation)	set2/a3	medium	What are the Andromeda galaxy's two main companions?	False	False	M32 and M110	medium
Ugrad 11	33	Andromeda_(constellation)	set2/a3	medium	What is the prominent planetary nebula in Andromeda?	False	False	NGC 7662 (Caldwell 22)	medium
Ugrad 11	33	Andromeda_(constellation)	set2/a3	medium	What is the prominent planetary nebula in Andromeda?	False	False	NGC 7662 (Caldwell 22)	medium
Ugrad 11	34	Andromeda_(constellation)	set2/a3	easy	Is Andromeda visible south of 40� south latitude?	False	False	No	easy
Ugrad 11	34	Andromeda_(constellation)	set2/a3	easy	Is Andromeda visible south of 40� south latitude?	False	False	No	easy
Ugrad 11	35	Andromeda_(constellation)	set2/a3	easy	Is Alpha Andromedae a binary star?	False	False	Yes	easy
Ugrad 11	35	Andromeda_(constellation)	set2/a3	easy	Is Alpha Andromedae a binary star?	False	False	Yes	easy
Ugrad 11	36	Andromeda_(constellation)	set2/a3	easy	Is the Blue Snowball Nebula visible in a telescope?	False	False	Yes	easy
Ugrad 11	36	Andromeda_(constellation)	set2/a3	easy	Is the Blue Snowball Nebula visible in a telescope?	False	False	Yes	easy
